Driver,Quali_time,Quali_delta,GridPosition,Sprint_performance_score,Race_pace_norm,Tyre_deg_norm,Pace_Stability,Team_Pace,Prev_Race_Score,Racecraft,FinalPosition,Race,win_probability
RUS,78.518,0.0,1,0.0,0.8328772690991673,-0.0919966053826329,0.0,0.8352922725465268,0.0,0.0,1.0,Australia,0.68
ANT,78.811,0.2930000000000063,2,0.0,0.8377072759938863,-0.448478590343503,0.0,0.8352922725465268,0.0,0.0,2.0,Australia,0.21333333333333335
VER,102.025,23.507000000000005,20,0.0,0.829284956921007,-0.2151421297932555,0.0,0.8381799230588323,0.0,0.0,6.0,Australia,0.06666666666666667
SAI,0.0,0.0,21,0.0,0.8701187733880643,0.1130122840308097,0.0,0.8817825884954087,0.0,0.0,15.0,Australia,0.05333333333333334
STR,0.0,0.0,22,0.0,1.0,-0.6545680790554977,0.0,0.9555818609380958,0.0,0.0,17.0,Australia,0.03666666666666667
HAD,79.303,0.7849999999999966,3,0.0,0.8470748891966576,-0.1577834280685979,0.0,0.8381799230588323,0.0,0.0,20.0,Australia,0.016666666666666666
LEC,79.327,0.8089999999999975,4,0.0,0.8928966480393096,-0.0151630470403822,0.0,0.8841901859012544,0.0,0.0,3.0,Australia,0.006666666666666667
NOR,79.475,0.9569999999999936,6,0.0,0.8379588866118736,-0.1043880020204587,0.0,0.8392282752591095,0.0,0.0,5.0,Australia,0.0033333333333333335
PIA,79.38,0.8619999999999948,5,0.0,0.8404976639063454,-0.1499367847392792,0.0,0.8392282752591095,0.0,0.0,21.0,Australia,0.0033333333333333335
ALB,80.941,2.423000000000002,15,0.0,0.893446403602753,-0.0069750995790494,0.0,0.8817825884954087,0.0,0.0,12.0,Australia,0.0
BOT,83.244,4.725999999999999,19,0.0,0.8746615049727468,-0.1971758286790619,0.0,0.8578139688858439,0.0,0.0,19.0,Australia,0.0
PER,82.605,4.087000000000003,18,0.0,0.8409664327989411,1.0,0.0,0.8578139688858439,0.0,0.0,16.0,Australia,0.0
ALO,81.969,3.4509999999999934,17,0.0,0.9111637218761915,0.473108886133276,0.0,0.9555818609380958,0.0,0.0,18.0,Australia,0.0
COL,81.2,2.682000000000002,16,0.0,0.8438577729864121,-0.2408213230216556,0.0,0.8805144851529645,0.0,0.0,14.0,Australia,0.0
GAS,80.501,1.983000000000004,14,0.0,0.9171711973195168,0.0179217238090567,0.0,0.8805144851529645,0.0,0.0,10.0,Australia,0.0
HAM,79.478,0.9599999999999936,7,0.0,0.8754837237631993,-0.0762734544312234,0.0,0.8841901859012544,0.0,0.0,4.0,Australia,0.0
OCO,80.491,1.972999999999999,13,0.0,0.8846245663422696,-0.2141504299302389,0.0,0.8861999956595472,0.0,0.0,11.0,Australia,0.0
HUL,80.303,1.7849999999999966,11,0.0,0.8891440627257424,-0.2389685405824637,0.0,0.8840579822475485,0.0,0.0,22.0,Australia,0.0
BOR,80.221,1.703000000000003,10,0.0,0.8789719017693546,-0.3240861990491794,0.0,0.8840579822475485,0.0,0.0,9.0,Australia,0.0
LAW,79.994,1.475999999999999,9,0.0,0.8741060147118799,-0.2035602316933291,0.0,0.8813637989715055,0.0,0.0,13.0,Australia,0.0
LIN,79.971,1.453000000000003,8,0.0,0.888621583231131,-0.1108988130035038,0.0,0.8813637989715055,0.0,0.0,8.0,Australia,0.0
BEA,80.311,1.7930000000000064,12,0.0,0.8877754249768249,-0.3460946021838017,0.0,0.8861999956595472,0.0,0.0,7.0,Australia,0.0
